*Frequency ;VOUTLOWPOWER-abs;VOUTLOWPOWER-phase (deg)
7.126470987;1.68E-07;9.64E-06
7.215600191;1.68E-07;9.63E-06
7.305844114;1.68E-07;9.63E-06
7.397216699;1.68E-07;9.62E-06
7.48973206;1.68E-07;9.61E-06
7.583404491;1.68E-07;9.60E-06
7.678248462;1.68E-07;9.60E-06
7.774278626;1.67E-07;9.59E-06
7.871509817;1.67E-07;9.58E-06
7.969957058;1.67E-07;9.58E-06
8.069635557;1.67E-07;9.57E-06
8.170560713;1.67E-07;9.56E-06
8.272748118;1.67E-07;9.56E-06
8.376213558;1.67E-07;9.55E-06
8.480973018;1.67E-07;9.55E-06
8.587042681;1.66E-07;9.54E-06
8.694438934;1.66E-07;9.53E-06
8.803178368;1.66E-07;9.53E-06
8.913277782;1.66E-07;9.52E-06
9.024754186;1.66E-07;9.51E-06
9.1376248;1.66E-07;9.51E-06
9.251907063;1.66E-07;9.50E-06
9.367618628;1.66E-07;9.50E-06
9.484777373;1.66E-07;9.49E-06
9.603401396;1.66E-07;9.49E-06
9.723509024;1.65E-07;9.48E-06
9.845118811;1.65E-07;9.48E-06
9.968249546;1.65E-07;9.47E-06
10.09292025;1.65E-07;9.46E-06
10.21915018;1.65E-07;9.46E-06
10.34695884;1.65E-07;9.45E-06
10.47636598;1.65E-07;9.45E-06
10.60739158;1.65E-07;9.44E-06
10.7400559;1.65E-07;9.44E-06
10.87437941;1.65E-07;9.43E-06
11.01038288;1.65E-07;9.43E-06
11.14808732;1.64E-07;9.42E-06
11.28751399;1.64E-07;9.42E-06
11.42868445;1.64E-07;9.41E-06
11.57162049;1.64E-07;9.41E-06
11.7163442;1.64E-07;9.41E-06
11.86287794;1.64E-07;9.40E-06
12.01124434;1.64E-07;9.40E-06
12.16146633;1.64E-07;9.39E-06
12.31356711;1.64E-07;9.39E-06
12.46757019;1.64E-07;9.38E-06
12.62349934;1.64E-07;9.38E-06
12.78137867;1.64E-07;9.37E-06
12.94123256;1.64E-07;9.37E-06
13.10308571;1.63E-07;9.37E-06
13.26696312;1.63E-07;9.36E-06
13.43289011;1.63E-07;9.36E-06
13.60089231;1.63E-07;9.35E-06
13.77099567;1.63E-07;9.35E-06
13.94322649;1.63E-07;9.35E-06
14.11761135;1.63E-07;9.34E-06
14.29417721;1.63E-07;9.34E-06
14.47295134;1.63E-07;9.33E-06
14.65396135;1.63E-07;9.33E-06
14.83723522;1.63E-07;9.33E-06
15.02280126;1.63E-07;9.32E-06
15.21068813;1.63E-07;9.32E-06
15.40092486;1.63E-07;9.32E-06
15.59354084;1.63E-07;9.31E-06
15.78856582;1.62E-07;9.31E-06
15.98602994;1.62E-07;9.31E-06
16.1859637;1.62E-07;9.30E-06
16.38839798;1.62E-07;9.30E-06
16.59336407;1.62E-07;9.30E-06
16.80089362;1.62E-07;9.29E-06
17.0110187;1.62E-07;9.29E-06
17.22377177;1.62E-07;9.29E-06
17.43918569;1.62E-07;9.28E-06
17.65729375;1.62E-07;9.28E-06
17.87812963;1.62E-07;9.28E-06
18.10172747;1.62E-07;9.27E-06
18.32812179;1.62E-07;9.27E-06
18.55734757;1.62E-07;9.27E-06
18.78944024;1.62E-07;9.27E-06
19.02443563;1.62E-07;9.26E-06
19.26237006;1.62E-07;9.26E-06
19.50328028;1.62E-07;9.26E-06
19.74720352;1.62E-07;9.25E-06
19.99417745;1.61E-07;9.25E-06
20.24424022;1.61E-07;9.25E-06
20.49743048;1.61E-07;9.25E-06
20.75378733;1.61E-07;9.24E-06
21.01335038;1.61E-07;9.24E-06
21.27615973;1.61E-07;9.24E-06
21.54225598;1.61E-07;9.24E-06
21.81168023;1.61E-07;9.23E-06
22.08447412;1.61E-07;9.23E-06
22.36067977;1.61E-07;9.23E-06
22.64033988;1.61E-07;9.23E-06
22.92349762;1.61E-07;9.22E-06
23.21019676;1.61E-07;9.22E-06
23.50048159;1.61E-07;9.22E-06
23.79439694;1.61E-07;9.22E-06
24.09198822;1.61E-07;9.21E-06
24.39330142;1.61E-07;9.21E-06
24.69838307;1.61E-07;9.21E-06
25.00728031;1.61E-07;9.21E-06
25.32004086;1.61E-07;9.21E-06
25.63671304;1.61E-07;9.20E-06
25.95734577;1.61E-07;9.20E-06
26.28198858;1.61E-07;9.20E-06
26.61069163;1.61E-07;9.20E-06
26.94350569;1.60E-07;9.19E-06
27.28048219;1.60E-07;9.19E-06
27.62167318;1.60E-07;9.19E-06
27.96713136;1.60E-07;9.19E-06
28.31691012;1.60E-07;9.19E-06
28.67106348;1.60E-07;9.19E-06
29.02964616;1.60E-07;9.18E-06
29.39271356;1.60E-07;9.18E-06
29.76032176;1.60E-07;9.18E-06
30.13252755;1.60E-07;9.18E-06
30.50938845;1.60E-07;9.18E-06
30.89096265;1.60E-07;9.17E-06
31.27730912;1.60E-07;9.17E-06
31.66848755;1.60E-07;9.17E-06
32.06455835;1.60E-07;9.17E-06
32.46558272;1.60E-07;9.17E-06
32.87162262;1.60E-07;9.17E-06
33.28274077;1.60E-07;9.16E-06
33.69900069;1.60E-07;9.16E-06
34.12046667;1.60E-07;9.16E-06
34.54720384;1.60E-07;9.16E-06
34.97927811;1.60E-07;9.16E-06
35.41675625;1.60E-07;9.16E-06
35.85970582;1.60E-07;9.15E-06
36.30819527;1.60E-07;9.15E-06
36.76229388;1.60E-07;9.15E-06
37.2220718;1.60E-07;9.15E-06
37.68760006;1.60E-07;9.15E-06
38.15895058;1.60E-07;9.15E-06
38.63619618;1.60E-07;9.15E-06
39.11941058;1.60E-07;9.14E-06
39.60866844;1.60E-07;9.14E-06
40.10404534;1.60E-07;9.14E-06
40.60561781;1.60E-07;9.14E-06
41.11346333;1.60E-07;9.14E-06
41.62766037;1.59E-07;9.14E-06
42.14828836;1.59E-07;9.14E-06
42.67542772;1.59E-07;9.14E-06
43.20915991;1.59E-07;9.13E-06
43.74956736;1.59E-07;9.13E-06
44.29673357;1.59E-07;9.13E-06
44.85074307;1.59E-07;9.13E-06
45.41168144;1.59E-07;9.13E-06
45.97963535;1.59E-07;9.13E-06
46.55469253;1.59E-07;9.13E-06
47.13694182;1.59E-07;9.13E-06
47.72647318;1.59E-07;9.12E-06
48.32337768;1.59E-07;9.12E-06
48.92774753;1.59E-07;9.12E-06
49.5396761;1.59E-07;9.12E-06
50.15925792;1.59E-07;9.12E-06
50.78658872;1.59E-07;9.12E-06
51.42176541;1.59E-07;9.12E-06
52.06488611;1.59E-07;9.12E-06
52.71605019;1.59E-07;9.12E-06
53.37535822;1.59E-07;9.12E-06
54.04291208;1.59E-07;9.11E-06
54.71881489;1.59E-07;9.11E-06
55.40317107;1.59E-07;9.11E-06
56.09608633;1.59E-07;9.11E-06
56.79766774;1.59E-07;9.11E-06
57.50802367;1.59E-07;9.11E-06
58.22726387;1.59E-07;9.11E-06
58.95549944;1.59E-07;9.11E-06
59.6928429;1.59E-07;9.11E-06
60.43940815;1.59E-07;9.11E-06
61.19531052;1.59E-07;9.11E-06
61.9606668;1.59E-07;9.10E-06
62.73559523;1.59E-07;9.10E-06
63.52021551;1.59E-07;9.10E-06
64.31464887;1.59E-07;9.10E-06
65.11901803;1.59E-07;9.10E-06
65.93344725;1.59E-07;9.10E-06
66.75806237;1.59E-07;9.10E-06
67.59299076;1.59E-07;9.10E-06
68.43836142;1.59E-07;9.10E-06
69.29430495;1.59E-07;9.10E-06
70.16095357;1.59E-07;9.10E-06
71.03844117;1.59E-07;9.10E-06
71.92690332;1.59E-07;9.10E-06
72.82647727;1.59E-07;9.10E-06
73.737302;1.59E-07;9.09E-06
74.65951821;1.59E-07;9.09E-06
75.59326837;1.59E-07;9.09E-06
76.53869674;1.59E-07;9.09E-06
77.49594938;1.59E-07;9.09E-06
78.46517416;1.59E-07;9.09E-06
79.44652083;1.59E-07;9.09E-06
80.44014098;1.59E-07;9.09E-06
81.44618812;1.59E-07;9.09E-06
82.46481767;1.59E-07;9.09E-06
83.49618699;1.59E-07;9.09E-06
84.54045543;1.59E-07;9.09E-06
85.5977843;1.59E-07;9.09E-06
86.66833695;1.59E-07;9.09E-06
87.75227877;1.59E-07;9.09E-06
88.84977721;1.59E-07;9.09E-06
89.96100182;1.59E-07;9.09E-06
91.08612427;1.59E-07;9.09E-06
92.22531838;1.59E-07;9.09E-06
93.37876014;1.59E-07;9.09E-06
94.54662774;1.59E-07;9.08E-06
95.72910161;1.59E-07;9.08E-06
96.92636441;1.59E-07;9.08E-06
98.13860112;1.58E-07;9.08E-06
99.36599901;1.58E-07;9.08E-06
100.6087477;1.58E-07;9.08E-06
101.8670392;1.58E-07;9.08E-06
103.1410678;1.58E-07;9.08E-06
104.4310304;1.58E-07;9.08E-06
105.7371263;1.58E-07;9.08E-06
107.0595573;1.58E-07;9.08E-06
108.3985276;1.58E-07;9.08E-06
109.7542442;1.58E-07;9.08E-06
111.1269163;1.58E-07;9.08E-06
112.5167562;1.58E-07;9.08E-06
113.9239785;1.58E-07;9.08E-06
115.3488007;1.58E-07;9.08E-06
116.7914427;1.58E-07;9.08E-06
118.2521276;1.58E-07;9.08E-06
119.7310809;1.58E-07;9.08E-06
121.2285312;1.58E-07;9.08E-06
122.7447098;1.58E-07;9.08E-06
124.2798508;1.58E-07;9.08E-06
125.8341916;1.58E-07;9.08E-06
127.4079721;1.58E-07;9.08E-06
129.0014356;1.58E-07;9.08E-06
130.6148282;1.58E-07;9.08E-06
132.2483991;1.58E-07;9.08E-06
133.9024007;1.58E-07;9.08E-06
135.5770886;1.58E-07;9.08E-06
137.2727214;1.58E-07;9.08E-06
138.9895611;1.58E-07;9.08E-06
140.7278729;1.58E-07;9.08E-06
142.4879255;1.58E-07;9.08E-06
144.2699906;1.58E-07;9.08E-06
146.0743436;1.58E-07;9.08E-06
147.9012633;1.58E-07;9.08E-06
149.7510318;1.58E-07;9.08E-06
151.623935;1.58E-07;9.08E-06
153.5202622;1.58E-07;9.08E-06
155.4403063;1.58E-07;9.08E-06
157.3843641;1.58E-07;9.08E-06
159.3527357;1.58E-07;9.08E-06
161.3457253;1.58E-07;9.08E-06
163.3636407;1.58E-07;9.08E-06
165.4067938;1.58E-07;9.08E-06
167.4755002;1.58E-07;9.08E-06
169.5700794;1.58E-07;9.08E-06
171.6908551;1.58E-07;9.08E-06
173.8381548;1.58E-07;9.08E-06
176.0123104;1.58E-07;9.08E-06
178.2136576;1.58E-07;9.09E-06
180.4425366;1.58E-07;9.09E-06
182.6992917;1.58E-07;9.09E-06
