*Frequency 	VF1-abs	VF1-phase (deg)	VOUTLOWNOISE-abs	VOUTLOWNOISE-phase (deg)	VOUTLOWPOWER-abs	VOUTLOWPOWER-phase (deg)
1	1,70794269331663E-7	9,78577618579143E-6	0	9,05611246572892E-6	1,58058703755585E-7	0
1,01250677992347	1,69899097570936E-7	9,73448670444862E-6	1,90505682940606E-8	9,00067358603388E-6	1,57091114546141E-7	1,00968349594603E-6
1,02516997939099	1,69010329492283E-7	9,68356412595282E-6	2,69545758383486E-8	8,94558227721857E-6	1,56129591583916E-7	1,42796131491958E-6
1,03799155470737	1,68127928260201E-7	9,63300634094265E-6	3,30285298559316E-8	8,89083641067562E-6	1,55174097716727E-7	1,74895402057027E-6
1,05097348664451	1,67251857254988E-7	9,58281125069023E-6	3,81567412780518E-8	8,83643387112133E-6	1,54224596027003E-7	2,01959467085999E-6
1,06411778074737	1,66382080064767E-7	9,53297676895331E-6	4,26815827536511E-8	8,78237255651614E-6	1,53281049826269E-7	2,25806175105523E-6
1,07742646764383	1,65518560485286E-7	9,48350082138543E-6	4,67785708119535E-8	8,72865037798036E-6	1,52343422658287E-7	2,47367800060445E-6
1,09090160335837	1,64661262518162E-7	9,43438134543587E-6	5,05519303280214E-8	8,67526525971659E-6	1,51411678292093E-7	2,67198139404344E-6
1,10454526962972	1,63810150367541E-7	9,38561629071501E-6	5,40695455130408E-8	8,62221513892579E-6	1,50485780726123E-7	2,85658013245929E-6
1,11835957423249	1,62965188444785E-7	9,33720361703118E-6	5,73785535523224E-8	8,56949796573018E-6	1,49565694182321E-7	3,02998042046357E-6
1,13234665130272	1,62126341355503E-7	9,28914129755145E-6	6,05132645754198E-8	8,51711170309079E-6	1,48651383109204E-7	3,19400697087814E-6
1,14650866166763	1,61293573910731E-7	9,24142731499535E-6	6,34995730648248E-8	8,4650543267314E-6	1,47742812176039E-7	3,35003726818076E-6
1,16084779317946	1,60466851112264E-7	9,19405966521828E-6	6,63575917310598E-8	8,41332382505901E-6	1,46839946272986E-7	3,49914146318462E-6
1,17536626105339	1,59646138162336E-7	9,14703635390823E-6	6,91033119180353E-8	8,36191819908394E-6	1,45942750512618E-7	3,64217057900886E-6
1,19006630820985	1,58831400453766E-7	9,10035539876472E-6	7,17496971583621E-8	8,31083546234572E-6	1,4505119022326E-7	3,77981461448115E-6
1,20495020562097	1,58022603576524E-7	9,05401482715949E-6	7,4307429835024E-8	8,26007364083222E-6	1,4416523095341E-7	3,91264222315086E-6
1,2200202526614	1,57219713306135E-7	9,00801267872235E-6	7,67854366396285E-8	8,20963077290625E-6	1,43284838465609E-7	4,04112864198741E-6
1,23527877746361	1,56422695606937E-7	8,96234700389036E-6	7,91912680016443E-8	8,1595049092278E-6	1,42409978737511E-7	4,16567586194774E-6
1,25072813727747	1,55631516633811E-7	8,91701586294815E-6	8,15313782178659E-8	8,10969411267904E-6	1,41540617959617E-7	4,28662752227322E-6
1,26637071883449	1,54846142725514E-7	8,87201732725337E-6	8,38113363056733E-8	8,0601964582878E-6	1,40676722535822E-7	4,40428012331262E-6
1,28220893871647	1,54066540404711E-7	8,82734947870072E-6	8,60359874319588E-8	8,01101003315482E-6	1,3981825907932E-7	4,51889161248165E-6
1,2982452437289	1,53292676376341E-7	8,78301040962856E-6	8,82095783781517E-8	7,9621329363778E-6	1,38965194413622E-7	4,63068805850774E-6
1,3144821112789	1,52524517524273E-7	8,73899822314602E-6	9,03358563729589E-8	7,91356327897926E-6	1,38117495568983E-7	4,73986890980728E-6
1,330922049758	1,51762030914855E-7	8,69531103177459E-6	9,24181478915187E-8	7,86529918383084E-6	1,37275129784309E-7	4,84661118765948E-6
1,34756759892961	1,51005183790169E-7	8,65194695862863E-6	9,44594221704229E-8	7,81733878558271E-6	1,36438064502697E-7	4,95107286660318E-6
1,36442133032142	1,5025394356814E-7	8,60890413689785E-6	9,64623429122112E-8	7,76968023058942E-6	1,3560626737244E-7	5,05339562669454E-6
1,38148584762263	1,49508277840963E-7	8,56618070975654E-6	9,84293107570191E-8	7,72232167683889E-6	1,34779706244409E-7	5,15370711465062E-6
1,39876378708623	1,48768154371748E-7	8,5237748306781E-6	1,00362498459442E-7	7,67526129388069E-6	1,33958349171044E-7	5,25212281691964E-6
1,41625781793623	1,48033541098253E-7	8,48168466212521E-6	1,02263880245648E-7	7,62849726275452E-6	1,33142164405552E-7	5,34874762310415E-6
1,43397064278005	1,47304406126051E-7	8,43990837668689E-6	1,04135256485702E-7	7,58202777591985E-6	1,32331120400235E-7	5,44367714009331E-6
1,45190499802601	1,46580717728738E-7	8,39844415657912E-6	1,05978274563408E-7	7,53585103718424E-6	1,31525185806987E-7	5,53699880383123E-6
1,4700636543061	1,45862444346395E-7	8,35729019355686E-6	1,07794446636211E-7	7,48996526163688E-6	1,30724329471971E-7	5,62879282555263E-6
1,48844941690399	1,4514955458225E-7	8,31644468921645E-6	1,09585164833328E-7	7,44436867557521E-6	1,29928520439158E-7	5,71913300164785E-6
1,50706512618842	1,44442017206582E-7	8,27590585373331E-6	1,1135171432972E-7	7,39905951643885E-6	1,2913772794568E-7	5,80808741043523E-6
1,52591365805199	1,43739801149813E-7	8,23567190695691E-6	1,13095284647767E-7	7,35403603273881E-6	1,28351921423193E-7	5,89571901456414E-6
1,54499792435545	1,43042875500965E-7	8,19574107831051E-6	1,14816979471602E-7	7,3092964839923E-6	1,27571070493306E-7	5,98208618421496E-6
1,56432087337758	1,42351209513526E-7	8,15611160517846E-6	1,16517825206645E-7	7,26483914065168E-6	1,267951449702E-7	6,06724315346371E-6
1,5838854902706	1,41664772591101E-7	8,11678173549274E-6	1,18198778474864E-7	7,22066228403822E-6	1,26024114858161E-7	6,15124041995898E-6
1,60369479752138	1,40983534298842E-7	8,07774972498369E-6	1,19860732703173E-7	7,17676420627667E-6	1,25257950348765E-7	6,23412509628717E-6
1,62375185541839	1,40307464352742E-7	8,03901383898831E-6	1,21504523935594E-7	7,13314321022771E-6	1,24496621820976E-7	6,31594121997741E-6
1,64405976252442	1,39636532625645E-7	8,00057235087134E-6	1,23130935978057E-7	7,08979760942025E-6	1,23740099841607E-7	6,39673002794546E-6
1,66462165615534	1,38970709140222E-7	7,96242354306383E-6	1,2474070496718E-7	7,04672572798959E-6	1,22988355160109E-7	6,47653020023886E-6
1,68544071286471	1,38309964069406E-7	7,92456570660628E-6	1,26334523439897E-7	7,0039259006083E-6	1,22241358711495E-7	6,55537807717897E-6
1,70652014893456	1,37654267733065E-7	7,88699714142642E-6	1,27913043969015E-7	6,96139647242281E-6	1,21499081613575E-7	6,63330785336473E-6
1,72786322087224	1,3700359060233E-7	7,84971615517756E-6	1,29476882420049E-7	6,91913579898899E-6	1,20761495165825E-7	6,7103517514824E-6
1,74947322591354	1,36357903290569E-7	7,81272106459932E-6	1,31026620876382E-7	6,87714224620914E-6	1,20028570847098E-7	6,78654017843248E-6
1,77135350253204	1,3571717656162E-7	7,77601019365893E-6	1,32562810273184E-7	6,83541419026612E-6	1,19300280316687E-7	6,86190186592418E-6
1,79350743095487	1,35081381314921E-7	7,7395818759484E-6	1,340859727747E-7	6,79395001756086E-6	1,18576595412417E-7	6,93646399738541E-6
1,81593843368492	1,34450488595721E-7	7,70343445248222E-6	1,35596603924836E-7	6,75274812464973E-6	1,17857488149151E-7	7,010252322782E-6
1,83864997602958	1,33824469591866E-7	7,66756627198982E-6	1,37095174597055E-7	6,71180691818243E-6	1,1714293071733E-7	7,08329126272498E-6
1,86164556663607	1,33203295628559E-7	7,63197569153244E-6	1,38582132765857E-7	6,67112481483835E-6	1,16432895483229E-7	7,15560400306268E-6
1,88492875803348	1,32586938168983E-7	7,59666107607709E-6	1,4005790511944E-7	6,63070024126641E-6	1,15727354986346E-7	7,22721258099966E-6
1,90850314718162	1,31975368811004E-7	7,56162079875646E-6	1,41522898530632E-7	6,59053163402157E-6	1,15026281940227E-7	7,29813796365197E-6
1,93237237602666	1,31368559289837E-7	7,52685324011773E-6	1,42977501401048E-7	6,5506174395062E-6	1,14329649229132E-7	7,36840011983553E-6
1,95654013206381	1,30766481478828E-7	7,49235678773279E-6	1,4442208489164E-7	6,51095611390735E-6	1,13637429908862E-7	7,43801808578654E-6
1,98101014890696	1,30169107374119E-7	7,45812983843976E-6	1,45857004050977E-7	6,47154612313847E-6	1,12949597203841E-7	7,50701002542961E-6
2,00578620686549	1,29576409115512E-7	7,42417079463887E-6	1,47282598851658E-7	6,43238594277656E-6	1,12266124508663E-7	7,57539328573641E-6
2,03087213352828	1,28988358963055E-7	7,39047806783811E-6	1,48699195143783E-7	6,39347405800457E-6	1,11586985385191E-7	7,64318444765511E-6
2,05627180435502	1,28404929309933E-7	7,35705007628412E-6	1,5010710553336E-7	6,35480896355267E-6	1,10912153561174E-7	7,7103993730363E-6
2,08198914327492	1,27826092679283E-7	7,32388524523466E-6	1,51506630192973E-7	6,31638916363823E-6	1,10241602930136E-7	7,77705324793364E-6
2,1080281232929	1,27251821718904E-7	7,29098200753087E-6	1,52898057610805E-7	6,27821317190691E-6	1,09575307550706E-7	7,84316062261562E-6
2,1343927671034	1,26682089200019E-7	7,25833880351663E-6	1,5428166528369E-7	6,24027951137528E-6	1,0891324164488E-7	7,9087354485891E-6
2,1610871477118	1,26116868022318E-7	7,22595408003067E-6	1,55657720359315E-7	6,20258671437298E-6	1,08255379597012E-7	7,97379111290281E-6
2,18811538906366	1,25556131204498E-7	7,19382629159249E-6	1,57026480232E-7	6,16513332248418E-6	1,07601695953696E-7	8,03834046997135E-6
2,21548166668183	1,24999851889345E-7	7,16195389939852E-6	1,58388193096091E-7	6,12791788649388E-6	1,06952165419962E-7	8,10239587113538E-6
2,24319020831149	1,24448003342643E-7	7,13033537126932E-6	1,59743098460693E-7	6,09093896632504E-6	1,06306762863188E-7	8,16596919215173E-6
2,27124529457331	1,23900558947852E-7	7,09896918219691E-6	1,61091427628902E-7	6,05419513098816E-6	1,0566546330722E-7	8,22907185878823E-6
2,29965125962475	1,23357492202823E-7	7,06785381456674E-6	1,62433404144453E-7	6,01768495852084E-6	1,05028241934871E-7	8,29171487068034E-6
2,3284124918296	1,22818776733613E-7	7,03698775600641E-6	1,63769244208654E-7	5,98140703593524E-6	1,0439507408436E-7	8,35390882359212E-6
2,35753343443596	1,22284386269966E-7	7,00636950260224E-6	1,65099157069804E-7	5,94535995915953E-6	1,0376593525074E-7	8,41566393020992E-6
