*Frequency ;VOUTLOWPOWER-abs;
1;2.23E-07;
1.01250678;2.22E-07;
1.025169979;2.21E-07;
1.037991555;2.21E-07;
1.050973487;2.20E-07;
1.064117781;2.19E-07;
1.077426468;2.19E-07;
1.090901603;2.18E-07;
1.10454527;2.17E-07;
1.118359574;2.17E-07;
1.132346651;2.16E-07;
1.146508662;2.16E-07;
1.160847793;2.15E-07;
1.175366261;2.14E-07;
1.190066308;2.14E-07;
1.204950206;2.13E-07;
1.220020253;2.12E-07;
1.235278777;2.12E-07;
1.250728137;2.11E-07;
1.266370719;2.11E-07;
1.282208939;2.10E-07;
1.298245244;2.10E-07;
1.314482111;2.09E-07;
1.33092205;2.08E-07;
1.347567599;2.08E-07;
1.36442133;2.07E-07;
1.381485848;2.07E-07;
1.398763787;2.06E-07;
1.416257818;2.06E-07;
1.433970643;2.05E-07;
1.451904998;2.05E-07;
1.470063654;2.04E-07;
1.488449417;2.04E-07;
1.507065126;2.03E-07;
1.525913658;2.03E-07;
1.544997924;2.02E-07;
1.564320873;2.02E-07;
1.58388549;2.01E-07;
1.603694798;2.01E-07;
1.623751855;2.00E-07;
1.644059763;2.00E-07;
1.664621656;1.99E-07;
1.685440713;1.99E-07;
1.706520149;1.98E-07;
1.727863221;1.98E-07;
1.749473226;1.97E-07;
1.771353503;1.97E-07;
1.793507431;1.97E-07;
1.815938434;1.96E-07;
1.838649976;1.96E-07;
1.861645567;1.95E-07;
1.884928758;1.95E-07;
1.908503147;1.94E-07;
1.932372376;1.94E-07;
1.956540132;1.94E-07;
1.981010149;1.93E-07;
2.005786207;1.93E-07;
2.030872134;1.92E-07;
2.056271804;1.92E-07;
2.081989143;1.92E-07;
2.108028123;1.91E-07;
2.134392767;1.91E-07;
2.161087148;1.91E-07;
2.188115389;1.90E-07;
2.215481667;1.90E-07;
2.243190208;1.89E-07;
2.271245295;1.89E-07;
2.29965126;1.89E-07;
2.328412492;1.88E-07;
2.357533434;1.88E-07;
2.387018586;1.88E-07;
2.416872502;1.87E-07;
2.447099795;1.87E-07;
2.477705133;1.87E-07;
2.508693246;1.86E-07;
2.540068921;1.86E-07;
2.571837004;1.86E-07;
2.604002403;1.85E-07;
2.636570088;1.85E-07;
2.66954509;1.85E-07;
2.702932503;1.84E-07;
2.736737485;1.84E-07;
2.770965258;1.84E-07;
2.805621111;1.83E-07;
2.840710397;1.83E-07;
2.876238536;1.83E-07;
2.912211019;1.83E-07;
2.948633401;1.82E-07;
2.98551131;1.82E-07;
3.022850443;1.82E-07;
3.060656568;1.81E-07;
3.098935526;1.81E-07;
3.137693231;1.81E-07;
3.17693567;1.81E-07;
3.216668905;1.80E-07;
3.256899075;1.80E-07;
3.297632395;1.80E-07;
3.338875158;1.80E-07;
3.380633734;1.79E-07;
3.422914576;1.79E-07;
3.465724216;1.79E-07;
3.509069266;1.79E-07;
3.552956423;1.78E-07;
3.597392467;1.78E-07;
3.642384263;1.78E-07;
3.687938761;1.78E-07;
3.734063;1.77E-07;
