*Frequency ;VOUTLOWNOISE-abs;
16.59336407;4.22E-08;
16.80089362;4.20E-08;
17.0110187;4.18E-08;
17.22377177;4.16E-08;
17.43918569;4.14E-08;
17.65729375;4.12E-08;
17.87812963;4.10E-08;
18.10172747;4.07E-08;
18.32812179;4.05E-08;
18.55734757;4.03E-08;
18.78944024;4.01E-08;
19.02443563;3.99E-08;
19.26237006;3.97E-08;
19.50328028;3.95E-08;
19.74720352;3.93E-08;
19.99417745;3.91E-08;
20.24424022;3.89E-08;
20.49743048;3.87E-08;
20.75378733;3.85E-08;
21.01335038;3.84E-08;
21.27615973;3.82E-08;
21.54225598;3.80E-08;
21.81168023;3.78E-08;
22.08447412;3.76E-08;
22.36067977;3.74E-08;
22.64033988;3.72E-08;
22.92349762;3.71E-08;
23.21019676;3.69E-08;
23.50048159;3.67E-08;
23.79439694;3.65E-08;
24.09198822;3.64E-08;
24.39330142;3.62E-08;
24.69838307;3.60E-08;
25.00728031;3.58E-08;
25.32004086;3.57E-08;
25.63671304;3.55E-08;
25.95734577;3.53E-08;
26.28198858;3.52E-08;
26.61069163;3.50E-08;
26.94350569;3.48E-08;
27.28048219;3.47E-08;
27.62167318;3.45E-08;
27.96713136;3.43E-08;
28.31691012;3.42E-08;
28.67106348;3.40E-08;
29.02964616;3.39E-08;
29.39271356;3.37E-08;
29.76032176;3.36E-08;
30.13252755;3.34E-08;
30.50938845;3.33E-08;
30.89096265;3.31E-08;
31.27730912;3.30E-08;
31.66848755;3.28E-08;
32.06455835;3.27E-08;
32.46558272;3.25E-08;
32.87162262;3.24E-08;
33.28274077;3.22E-08;
33.69900069;3.21E-08;
34.12046667;3.19E-08;
34.54720384;3.18E-08;
34.97927811;3.17E-08;
35.41675625;3.15E-08;
35.85970582;3.14E-08;
36.30819527;3.13E-08;
36.76229388;3.11E-08;
37.2220718;3.10E-08;
37.68760006;3.09E-08;
38.15895058;3.07E-08;
38.63619618;3.06E-08;
39.11941058;3.05E-08;
39.60866844;3.03E-08;
40.10404534;3.02E-08;
40.60561781;3.01E-08;
41.11346333;3.00E-08;
41.62766037;2.98E-08;
42.14828836;2.97E-08;
42.67542772;2.96E-08;
43.20915991;2.95E-08;
43.74956736;2.94E-08;
44.29673357;2.92E-08;
44.85074307;2.91E-08;
45.41168144;2.90E-08;
45.97963535;2.89E-08;
46.55469253;2.88E-08;
47.13694182;2.87E-08;
47.72647318;2.85E-08;
48.32337768;2.84E-08;
48.92774753;2.83E-08;
49.5396761;2.82E-08;
50.15925792;2.81E-08;
50.78658872;2.80E-08;
51.42176541;2.79E-08;
52.06488611;2.78E-08;
52.71605019;2.77E-08;
53.37535822;2.76E-08;
54.04291208;2.75E-08;
54.71881489;2.74E-08;
55.40317107;2.73E-08;
56.09608633;2.72E-08;
56.79766774;2.71E-08;
57.50802367;2.70E-08;
58.22726387;2.69E-08;
58.95549944;2.68E-08;
59.6928429;2.67E-08;
60.43940815;2.66E-08;
61.19531052;2.65E-08;
61.9606668;2.64E-08;
62.73559523;2.63E-08;
63.52021551;2.62E-08;
64.31464887;2.61E-08;
65.11901803;2.60E-08;
65.93344725;2.59E-08;
66.75806237;2.58E-08;
67.59299076;2.58E-08;
68.43836142;2.57E-08;
69.29430495;2.56E-08;
70.16095357;2.55E-08;
71.03844117;2.54E-08;
71.92690332;2.53E-08;
72.82647727;2.52E-08;
73.737302;2.52E-08;
74.65951821;2.51E-08;
75.59326837;2.50E-08;
76.53869674;2.49E-08;
77.49594938;2.48E-08;
78.46517416;2.48E-08;
79.44652083;2.47E-08;
80.44014098;2.46E-08;
81.44618812;2.45E-08;
82.46481767;2.45E-08;
83.49618699;2.44E-08;
84.54045543;2.43E-08;
85.5977843;2.42E-08;
86.66833695;2.42E-08;
87.75227877;2.41E-08;
88.84977721;2.40E-08;
89.96100182;2.39E-08;
91.08612427;2.39E-08;
92.22531838;2.38E-08;
93.37876014;2.37E-08;
94.54662774;2.37E-08;
95.72910161;2.36E-08;
96.92636441;2.35E-08;
98.13860112;2.35E-08;
99.36599901;2.34E-08;
100.6087477;2.33E-08;
101.8670392;2.33E-08;
103.1410678;2.32E-08;
104.4310304;2.32E-08;
105.7371263;2.31E-08;
107.0595573;2.30E-08;
108.3985276;2.30E-08;
109.7542442;2.29E-08;
111.1269163;2.29E-08;
112.5167562;2.28E-08;
113.9239785;2.27E-08;
115.3488007;2.27E-08;
116.7914427;2.26E-08;
118.2521276;2.26E-08;
119.7310809;2.25E-08;
121.2285312;2.25E-08;
122.7447098;2.24E-08;
124.2798508;2.23E-08;
125.8341916;2.23E-08;
127.4079721;2.22E-08;
129.0014356;2.22E-08;
130.6148282;2.21E-08;
132.2483991;2.21E-08;
133.9024007;2.20E-08;
135.5770886;2.20E-08;
137.2727214;2.19E-08;
138.9895611;2.19E-08;
140.7278729;2.18E-08;
142.4879255;2.18E-08;
144.2699906;2.17E-08;
146.0743436;2.17E-08;
147.9012633;2.17E-08;
149.7510318;2.16E-08;
151.623935;2.16E-08;
153.5202622;2.15E-08;
155.4403063;2.15E-08;
157.3843641;2.14E-08;
159.3527357;2.14E-08;
161.3457253;2.13E-08;
163.3636407;2.13E-08;
165.4067938;2.13E-08;
167.4755002;2.12E-08;
169.5700794;2.12E-08;
171.6908551;2.11E-08;
173.8381548;2.11E-08;
176.0123104;2.11E-08;
178.2136576;2.10E-08;
180.4425366;2.10E-08;
182.6992917;2.10E-08;
184.9842715;2.09E-08;
187.2978291;2.09E-08;
189.6403218;2.08E-08;
192.0121116;2.08E-08;
194.4135648;2.08E-08;
196.8450525;2.07E-08;
199.3069502;2.07E-08;
201.7996384;2.07E-08;
204.3235021;2.06E-08;
206.8789311;2.06E-08;
209.4663204;2.06E-08;
212.0860696;2.05E-08;
214.7385834;2.05E-08;
217.4242716;2.05E-08;
220.1435491;2.05E-08;
222.896836;2.04E-08;
225.6845577;2.04E-08;
228.5071448;2.04E-08;
231.3650333;2.03E-08;
234.2586649;2.03E-08;
237.1884865;2.03E-08;
240.1549507;2.03E-08;
243.1585158;2.02E-08;
246.1996458;2.02E-08;
249.2788106;2.02E-08;
252.3964858;2.02E-08;
255.5531531;2.01E-08;
258.7493002;2.01E-08;
261.9854207;2.01E-08;
265.2620147;2.01E-08;
268.5795884;2.00E-08;
271.9386542;2.00E-08;
275.3397311;2.00E-08;
278.7833445;2.00E-08;
282.2700264;2.00E-08;
285.8003155;1.99E-08;
289.3747572;1.99E-08;
292.9939036;1.99E-08;
296.6583139;1.99E-08;
300.3685541;1.99E-08;
304.1251975;1.98E-08;
307.9288244;1.98E-08;
311.7800225;1.98E-08;
315.6793866;1.98E-08;
319.6275192;1.98E-08;
323.6250302;1.98E-08;
327.6725373;1.97E-08;
331.7706656;1.97E-08;
335.9200483;1.97E-08;
340.1213264;1.97E-08;
344.375149;1.97E-08;
348.6821732;1.97E-08;
353.0430644;1.97E-08;
357.4584963;1.96E-08;
361.929151;1.96E-08;
366.4557193;1.96E-08;
371.0389003;1.96E-08;
375.6794022;1.96E-08;
380.3779418;1.96E-08;
385.135245;1.96E-08;
389.9520467;1.96E-08;
394.8290912;1.96E-08;
399.7671317;1.96E-08;
404.7669313;1.95E-08;
409.8292622;1.95E-08;
414.9549066;1.95E-08;
420.1446563;1.95E-08;
425.399313;1.95E-08;
430.7196886;1.95E-08;
436.106605;1.95E-08;
441.5608943;1.95E-08;
447.0833992;1.95E-08;
452.6749729;1.95E-08;
458.3364792;1.95E-08;
464.0687926;1.95E-08;
469.8727989;1.95E-08;
475.7493946;1.95E-08;
481.6994876;1.95E-08;
487.723997;1.95E-08;
493.8238537;1.95E-08;
500;1.95E-08;
506.25339;1.95E-08;
512.5849897;1.95E-08;
518.9957774;1.95E-08;
525.4867433;1.95E-08;
532.0588904;1.95E-08;
538.7132338;1.95E-08;
545.4508017;1.95E-08;
552.2726348;1.95E-08;
559.1797871;1.95E-08;
566.1733257;1.95E-08;
573.2543308;1.95E-08;
580.4238966;1.95E-08;
587.6831305;1.95E-08;
595.0331541;1.95E-08;
602.4751028;1.95E-08;
610.0101263;1.95E-08;
617.6393887;1.95E-08;
625.3640686;1.95E-08;
633.1853594;1.95E-08;
641.1044694;1.95E-08;
649.1226219;1.95E-08;
657.2410556;1.95E-08;
665.4610249;1.95E-08;
673.7837995;1.96E-08;
682.2106652;1.96E-08;
690.7429238;1.96E-08;
699.3818935;1.96E-08;
708.128909;1.96E-08;
716.9853214;1.96E-08;
725.952499;1.96E-08;
735.0318272;1.96E-08;
744.2247085;1.96E-08;
753.5325631;1.96E-08;
762.956829;1.96E-08;
772.4989622;1.96E-08;
782.1604367;1.96E-08;
791.9427451;1.96E-08;
801.8473988;1.96E-08;
811.8759277;1.96E-08;
822.0298813;1.96E-08;
832.3108281;1.97E-08;
842.7203564;1.97E-08;
853.2600745;1.97E-08;
863.9316104;1.97E-08;
874.736613;1.97E-08;
885.6767513;1.97E-08;
896.7537155;1.97E-08;
907.9692168;1.97E-08;
919.324988;1.97E-08;
930.8227833;1.97E-08;
942.464379;1.97E-08;
954.2515736;1.96E-08;
966.186188;1.96E-08;
978.270066;1.96E-08;
990.5050745;1.96E-08;
1002.893103;1.96E-08;
1015.436067;1.96E-08;
1028.135902;1.96E-08;
1040.994572;1.96E-08;
1054.014062;1.96E-08;
1067.196384;1.95E-08;
1080.543574;1.95E-08;
1094.057695;1.95E-08;
1107.740833;1.95E-08;
1121.595104;1.95E-08;
1135.622647;1.94E-08;
1149.82563;1.94E-08;
1164.206246;1.94E-08;
1178.766717;1.93E-08;
1193.509293;1.93E-08;
1208.436251;1.93E-08;
1223.549897;1.92E-08;
1238.852567;1.92E-08;
1254.346623;1.91E-08;
1270.03446;1.91E-08;
1285.918502;1.90E-08;
1302.001202;1.90E-08;
1318.285044;1.89E-08;
1334.772545;1.88E-08;
1351.466251;1.88E-08;
1368.368742;1.87E-08;
1385.482629;1.86E-08;
1402.810555;1.86E-08;
1420.355198;1.85E-08;
1438.119268;1.84E-08;
1456.105509;1.83E-08;
1474.316701;1.83E-08;
1492.755655;1.82E-08;
1511.425221;1.81E-08;
1530.328284;1.80E-08;
1549.467763;1.79E-08;
1568.846615;1.78E-08;
1588.467835;1.77E-08;
1608.334452;1.76E-08;
1628.449537;1.75E-08;
1648.816197;1.74E-08;
1669.437579;1.73E-08;
1690.316867;1.72E-08;
1711.457288;1.71E-08;
1732.862108;1.70E-08;
1754.534633;1.68E-08;
1776.478211;1.67E-08;
1798.696233;1.66E-08;
1821.192131;1.65E-08;
1843.969381;1.64E-08;
1867.0315;1.62E-08;
1890.382052;1.61E-08;
1914.024644;1.60E-08;
1937.962929;1.59E-08;
1962.200605;1.57E-08;
1986.741416;1.56E-08;
2011.589154;1.55E-08;
2036.747657;1.54E-08;
2062.220811;1.52E-08;
2088.012553;1.51E-08;
2114.126867;1.50E-08;
2140.567786;1.49E-08;
2167.339396;1.47E-08;
2194.445833;1.46E-08;
2221.891284;1.45E-08;
2249.67999;1.44E-08;
2277.816242;1.42E-08;
2306.304389;1.41E-08;
2335.14883;1.40E-08;
2364.354023;1.39E-08;
2393.924478;1.37E-08;
2423.864765;1.36E-08;
2454.179508;1.35E-08;
2484.873391;1.34E-08;
2515.951155;1.33E-08;
2547.417603;1.31E-08;
2579.277594;1.30E-08;
2611.536051;1.29E-08;
2644.197958;1.28E-08;
2677.26836;1.27E-08;
2710.752366;1.26E-08;
2744.655149;1.25E-08;
2778.981947;1.24E-08;
2813.738063;1.23E-08;
2848.928866;1.22E-08;
2884.559792;1.21E-08;
2920.636346;1.20E-08;
2957.164102;1.19E-08;
2994.148703;1.18E-08;
3031.595862;1.17E-08;
3069.511364;1.16E-08;
3107.901067;1.15E-08;
3146.770902;1.14E-08;
3186.126873;1.13E-08;
3225.975061;1.12E-08;
3266.321621;1.11E-08;
3307.172787;1.10E-08;
3348.534869;1.09E-08;
3390.414257;1.09E-08;
3432.817422;1.08E-08;
3475.750914;1.07E-08;
3519.221366;1.06E-08;
3563.235493;1.05E-08;
3607.800095;1.05E-08;
3652.922057;1.04E-08;
3698.608349;1.03E-08;
3744.86603;1.03E-08;
3791.702245;1.02E-08;
3839.124231;1.01E-08;
3887.139313;1.00E-08;
3935.754909;9.98E-09;
3984.978529;9.92E-09;
4034.817779;9.85E-09;
4085.280357;9.79E-09;
4136.374059;9.73E-09;
4188.106779;9.67E-09;
4240.486509;9.61E-09;
4293.52134;9.56E-09;
4347.219467;9.50E-09;
4401.589184;9.45E-09;
4456.638891;9.39E-09;
4512.377093;9.34E-09;
4568.8124;9.29E-09;
4625.953531;9.24E-09;
4683.809314;9.19E-09;
4742.388686;9.14E-09;
4801.700698;9.09E-09;
4861.754512;9.05E-09;
4922.559406;9.00E-09;
4984.124773;8.96E-09;
5046.460125;8.91E-09;
5109.575091;8.87E-09;
5173.479422;8.83E-09;
5238.18299;8.79E-09;
5303.695792;8.75E-09;
5370.027948;8.71E-09;
5437.189706;8.67E-09;
5505.191441;8.63E-09;
5574.043659;8.60E-09;
5643.756996;8.56E-09;
5714.342223;8.53E-09;
5785.810244;8.49E-09;
5858.172099;8.46E-09;
5931.438968;8.43E-09;
6005.62217;8.39E-09;
6080.733165;8.36E-09;
6156.783556;8.33E-09;
6233.785093;8.30E-09;
6311.749671;8.27E-09;
6390.689335;8.24E-09;
6470.616281;8.22E-09;
6551.542854;8.19E-09;
6633.481559;8.16E-09;
6716.445053;8.14E-09;
6800.446153;8.11E-09;
6885.497837;8.09E-09;
6971.613243;8.06E-09;
7058.805675;8.04E-09;
7147.088604;8.01E-09;
7236.475669;7.99E-09;
7326.980677;7.97E-09;
7418.617612;7.95E-09;
7511.40063;7.92E-09;
7605.344064;7.90E-09;
7700.462429;7.88E-09;
7796.770418;7.86E-09;
7894.282909;7.84E-09;
7993.014968;7.82E-09;
8092.981848;7.81E-09;
8194.19899;7.79E-09;
8296.682034;7.77E-09;
8400.44681;7.75E-09;
8505.50935;7.73E-09;
8611.885883;7.72E-09;
8719.592845;7.70E-09;
8828.646873;7.69E-09;
8939.064817;7.67E-09;
9050.863733;7.65E-09;
9164.060894;7.64E-09;
9278.673787;7.63E-09;
9394.720118;7.61E-09;
9512.217815;7.60E-09;
9631.18503;7.58E-09;
9751.640141;7.57E-09;
9873.601758;7.56E-09;
9997.088723;7.54E-09;
10122.12011;7.53E-09;
10248.71524;7.52E-09;
10376.89367;7.51E-09;
10506.67519;7.50E-09;
10638.07987;7.48E-09;
10771.12799;7.47E-09;
10905.84012;7.46E-09;
11042.23706;7.45E-09;
11180.33989;7.44E-09;
11320.16994;7.43E-09;
11461.74881;7.42E-09;
11605.09838;7.41E-09;
11750.24079;7.40E-09;
11897.19847;7.39E-09;
12045.99411;7.38E-09;
12196.65071;7.37E-09;
12349.19154;7.36E-09;
12503.64016;7.36E-09;
12660.02043;7.35E-09;
12818.35652;7.34E-09;
12978.67289;7.33E-09;
13140.99429;7.32E-09;
13305.34581;7.32E-09;
13471.75285;7.31E-09;
13640.24109;7.30E-09;
13810.83659;7.29E-09;
13983.56568;7.29E-09;
14158.45506;7.28E-09;
14335.53174;7.27E-09;
14514.82308;7.27E-09;
14696.35678;7.26E-09;
14880.16088;7.25E-09;
15066.26378;7.25E-09;
15254.69422;7.24E-09;
15445.48133;7.24E-09;
15638.65456;7.23E-09;
15834.24377;7.22E-09;
16032.27917;7.22E-09;
16232.79136;7.21E-09;
16435.81131;7.21E-09;
16641.37039;7.20E-09;
16849.50034;7.20E-09;
17060.23334;7.19E-09;
17273.60192;7.19E-09;
17489.63906;7.18E-09;
17708.37812;7.18E-09;
17929.85291;7.17E-09;
18154.09764;7.17E-09;
18381.14694;7.16E-09;
18611.0359;7.16E-09;
18843.80003;7.16E-09;
19079.47529;7.15E-09;
19318.09809;7.15E-09;
19559.70529;7.14E-09;
19804.33422;7.14E-09;
20052.02267;7.14E-09;
20302.8089;7.13E-09;
20556.73167;7.13E-09;
20813.83019;7.13E-09;
21074.14418;7.12E-09;
21337.71386;7.12E-09;
21604.57995;7.12E-09;
21874.78368;7.11E-09;
22148.36679;7.11E-09;
22425.37153;7.11E-09;
22705.84072;7.10E-09;
22989.81767;7.10E-09;
23277.34626;7.10E-09;
23568.47091;7.09E-09;
23863.23659;7.09E-09;
24161.68884;7.09E-09;
24463.87376;7.09E-09;
24769.83805;7.08E-09;
25079.62896;7.08E-09;
25393.29436;7.08E-09;
25710.88271;7.08E-09;
26032.44306;7.07E-09;
26358.02509;7.07E-09;
26687.67911;7.07E-09;
27021.45604;7.07E-09;
27359.40745;7.06E-09;
27701.58553;7.06E-09;
28048.04317;7.06E-09;
28398.83387;7.06E-09;
28754.01184;7.06E-09;
29113.63193;7.05E-09;
29477.74972;7.05E-09;
29846.42145;7.05E-09;
30219.70407;7.05E-09;
30597.65526;7.05E-09;
30980.3334;7.04E-09;
31367.79761;7.04E-09;
31760.10776;7.04E-09;
32157.32443;7.04E-09;
32559.50901;7.04E-09;
32966.72363;7.03E-09;
33379.03118;7.03E-09;
33796.49538;7.03E-09;
34219.18071;7.03E-09;
34647.15247;7.03E-09;
35080.47678;7.03E-09;
35519.22059;7.03E-09;
35963.45166;7.02E-09;
36413.23864;7.02E-09;
36868.651;7.02E-09;
37329.7591;7.02E-09;
37796.63419;7.02E-09;
38269.34837;7.02E-09;
38747.97469;7.02E-09;
39232.58708;7.01E-09;
39723.26041;7.01E-09;
40220.07049;7.01E-09;
40723.09406;7.01E-09;
41232.40883;7.01E-09;
41748.0935;7.01E-09;
42270.22771;7.01E-09;
42798.89215;7.01E-09;
43334.16848;7.01E-09;
43876.13938;7.00E-09;
44424.8886;7.00E-09;
44980.50091;7.00E-09;
45543.06213;7.00E-09;
46112.65919;7.00E-09;
46689.38007;7.00E-09;
47273.31387;7.00E-09;
47864.5508;7.00E-09;
48463.18221;7.00E-09;
49069.30056;7.00E-09;
49682.9995;6.99E-09;
50304.37384;6.99E-09;
50933.51958;6.99E-09;
51570.5339;6.99E-09;
52215.51521;6.99E-09;
52868.56317;6.99E-09;
53529.77866;6.99E-09;
54199.26382;6.99E-09;
54877.12208;6.99E-09;
55563.45817;6.99E-09;
56258.37811;6.99E-09;
56961.98927;6.99E-09;
57674.40033;6.99E-09;
58395.72136;6.98E-09;
59126.0638;6.98E-09;
59865.54047;6.98E-09;
60614.26561;6.98E-09;
61372.35489;6.98E-09;
62139.92542;6.98E-09;
62917.09579;6.98E-09;
63703.98607;6.98E-09;
64500.7178;6.98E-09;
65307.41408;6.98E-09;
66124.19954;6.98E-09;
66951.20035;6.98E-09;
67788.54428;6.98E-09;
68636.36068;6.98E-09;
69494.78054;6.98E-09;
70363.93646;6.98E-09;
71243.96273;6.97E-09;
72134.9953;6.97E-09;
73037.17181;6.97E-09;
73950.63164;6.97E-09;
74875.51592;6.97E-09;
75811.96751;6.97E-09;
76760.13111;6.97E-09;
77720.15317;6.97E-09;
78692.18203;6.97E-09;
79676.36783;6.97E-09;
80672.86263;6.97E-09;
81681.82036;6.97E-09;
82703.39692;6.97E-09;
83737.7501;6.97E-09;
84785.03971;6.97E-09;
85845.42754;6.97E-09;
86919.07741;6.97E-09;
88006.15519;6.97E-09;
89106.8288;6.97E-09;
90221.2683;6.97E-09;
91349.64585;6.97E-09;
92492.13576;6.97E-09;
93648.91455;6.97E-09;
94820.16091;6.96E-09;
96006.0558;6.96E-09;
97206.78241;6.96E-09;
98422.52624;6.96E-09;
99653.47512;6.96E-09;
100899.8192;6.96E-09;
102161.751;6.96E-09;
103439.4656;6.96E-09;
104733.1602;6.96E-09;
106043.0348;6.96E-09;
107369.2917;6.96E-09;
108712.1358;6.96E-09;
110071.7745;6.96E-09;
111448.418;6.96E-09;
112842.2788;6.96E-09;
114253.5724;6.96E-09;
115682.5167;6.96E-09;
117129.3325;6.96E-09;
118594.2432;6.96E-09;
120077.4753;6.96E-09;
121579.2579;6.96E-09;
123099.8229;6.96E-09;
124639.4053;6.96E-09;
126198.2429;6.96E-09;
127776.5766;6.96E-09;
129374.6501;6.96E-09;
130992.7104;6.96E-09;
132631.0074;6.96E-09;
134289.7942;6.96E-09;
135969.3271;6.96E-09;
137669.8655;6.96E-09;
139391.6723;6.96E-09;
141135.0132;6.96E-09;
142900.1578;6.96E-09;
144687.3786;6.96E-09;
146496.9518;6.96E-09;
148329.1569;6.96E-09;
150184.2771;6.96E-09;
152062.5988;6.96E-09;
153964.4122;6.95E-09;
155890.0112;6.95E-09;
157839.6933;6.95E-09;
159813.7596;6.95E-09;
161812.5151;6.95E-09;
163836.2686;6.95E-09;
165885.3328;6.95E-09;
167960.0241;6.95E-09;
170060.6632;6.95E-09;
172187.5745;6.95E-09;
174341.0866;6.95E-09;
176521.5322;6.95E-09;
178729.2481;6.95E-09;
180964.5755;6.95E-09;
183227.8596;6.95E-09;
185519.4502;6.95E-09;
187839.7011;6.95E-09;
190188.9709;6.95E-09;
192567.6225;6.95E-09;
194976.0234;6.95E-09;
197414.5456;6.95E-09;
199883.5659;6.95E-09;
202383.4656;6.95E-09;
204914.6311;6.95E-09;
207477.4533;6.95E-09;
210072.3281;6.95E-09;
212699.6565;6.95E-09;
215359.8443;6.95E-09;
218053.3025;6.95E-09;
220780.4471;6.95E-09;
223541.6996;6.95E-09;
226337.4865;6.95E-09;
229168.2396;6.95E-09;
232034.3963;6.95E-09;
234936.3995;6.95E-09;
237874.6973;6.95E-09;
