"Frequency","Magnitude Response@Bessel 2nd order","Magnitude Response@Butterworth 2nd order","Magnitude Response@Chebyshev 2nd order"
"140","-0.026856146919989183","-0.0004342894269760915","0.06393773899914129"
"150.44509596498443","-0.031027483675218702","-0.0005791246015985988","0.07380225856535906"
"161.6694778565241","-0.03584924713093905","-0.0007722578961089318","0.08518259834736543"
"173.7312865052407","-0.0414236767229505","-0.0010297919210903804","0.09830948618409593"
"186.6930005028653","-0.04786934325302349","-0.0013731953035236476","0.1134479454571069"
"200.62175983317468","-0.05532383735608594","-0.0018310888299143068","0.13090206531266954"
"215.58971364832874","-0.06394692326186897","-0.0024416245557154527","0.1510202930965646"
"231.67439399204522","-0.07392424392477061","-0.003255653511570186","0.17420123695251438"
"248.95911740544898","-0.08547168037264594","-0.00434094122690665","0.2008999216903979"
"267.53341649586145","-0.09884048801142231","-0.005787773808698011","0.23163436783056268"
"287.4935037040002","-0.11432335594521538","-0.007716406417531073","0.2669922463673142"
"308.94276967184226","-0.1322615622997986","-0.010286947469266557","0.30763717555718145"
"331.99231879263135","-0.15305342891410437","-0.013712453502005176","0.3543139321211587"
"356.76154471710805","-0.17716431184079406","-0.01827623941386147","0.4078513864549211"
"383.3787487970101","-0.20513839811585147","-0.024354693434694916","0.4691612429270177"
"411.98180466929887","-0.2376126108296954","-0.03244722792634117","0.5392295186475865"
"442.71887242357246","-0.2753329477297678","-0.04321538733261088","0.6190958843991"
"475.74916605195756","-0.31917358367216264","-0.057533542836554714","0.7098131382182258"
"511.24377815677195","-0.37015903899972513","-0.07655395816228637","0.8123745954993666"
"549.3865661878341","-0.4294896316017975","-0.1017891697595617","0.927590176809985"
"590.3751048000141","-0.4985702575110551","-0.13521432794361365","1.0558812208114337"
"634.4217092641134","-0.5790422394396704","-0.17939095779892117","1.196948062230584"
"681.7545352322071","-0.672817489203271","-0.23761084716051822","1.3492421407810726"
"732.6187605540912","-0.7821134857064016","-0.31405352514531826","1.509147518782394"
"787.2778552664871","-0.9094865167633596","-0.4139419970245944","1.6697558348889927"
"846.0149463333842","-1.0578592414052206","-0.5436683047039251","1.8191378312798219"
"909.1342842066938","-1.2305369421437453","-0.7108436796403103","1.9381559979365135"
"976.9628188038106","-1.4312050303819415","-0.9242111937493882","1.9982770773518315"
"1049.8518930654357","-1.6638988255811524","-1.1933505066760672","1.9606761962419026"
"1128.1790628660717","-1.9329359925022047","-1.5281183688330164","1.7789510976923337"
"1212.3500527040883","-2.2428031688889196","-1.9378191683757982","1.4077127661977675"
"1302.800857301575","-2.5979921789740055","-2.430189333776786","0.8161384816757153"
"1399.999999999996","-3.002788386220032","-3.0103832559190886","-0.0001229645666150272"
"1504.45095964984","-3.461023840848994","-3.6802131448531306","-1.0171021901993715"
"1616.6947785652364","-3.9758191250699553","-4.437865837182374","-2.192180774752056"
"1737.3128650524018","-4.549346924162657","-5.2781861354799355","-3.4780768817622962"
"1866.9300050286474","-5.18265349312436","-6.193437052773204","-4.8332282889455795"
"2006.217598331741","-5.875568602945011","-7.174313923323834","-6.226063935698632"
"2155.8971364832814","-6.62672037341506","-8.210959971130398","-7.634891302961992"
"2316.743939920446","-7.4336522465987676","-9.293795697500535","-9.045906209849829"
"2489.591174054483","-8.293021051242919","-10.414078303628932","-10.450929209912978"
"2675.334164958607","-9.200843092712756","-11.564196879068836","-11.845526098623818"
"2874.9350370399934","-10.152752172082103","-12.73775970480528","-13.227642183448161"
"3089.4276967184137","-11.144238597946355","-13.929544072625488","-14.596676860990376"
"3319.9231879263043","-12.170848355973494","-15.135370711367901","-15.952881501254833"
"3567.6154471710706","-13.228332803335707","-16.35194804847579","-17.296977875375177"
"3833.78748797009","-14.31274865292638","-17.57671473352845","-18.629921257402735"
"4119.818046692977","-15.420514240561987","-18.807695755056507","-19.9527563636389"
"4427.188724235712","-16.54843109571061","-20.04337868534374","-21.2665320725476"
"4757.491660519562","-17.69368039304616","-21.282611344882675","-22.572253002673456"
"5112.437781567705","-18.85380289485454","-22.52451942718603","-23.870853986036604"
"5493.865661878325","-20.026669325790458","-23.768441437207827","-25.163188592947623"
"5903.751048000124","-21.21044631998519","-25.01387800013259","-26.45002612427218"
"6344.2170926411145","-22.403561464626215","-26.26045275617206","-27.73205355582219"
"6817.54535232205","-23.60466966607261","-27.50788241191826","-29.009880231308244"
"7326.187605540889","-24.812622101673558","-28.755953927040025","-30.284043932695173"
"7872.778552664848","-26.026438352100193","-30.004507205326682","-31.555017485510923"
"8460.149463333817","-27.245281873799655","-31.253422000799443","-32.82321539251769"
"9091.342842066912","-28.46843870758259","-32.50260803425315","-34.089000202168684"
"9769.628188038077","-29.695299174915405","-33.751997545343265","-35.352688452783056"
"10498.518930654325","-30.925342247520252","-35.0015396869325","-36.6145561175741"
"11281.790628660683","-32.15812225880566","-36.25119630988792","-37.87484352757531"
"12123.500527040847","-33.393257637016774","-37.50093879561628","-39.133759780688806"
"13028.008573015712","-34.63042136629975","-38.75074567713622","-40.391486662983354"
"13999.99999999992","-35.86933291459175","-40.000600853071745","-41.648182117817456"
"15044.509596498357","-37.109751401261256","-41.250492247175636","-42.90398330248396"
"16166.947785652319","-38.35146980987496","-42.500410802461026","-44.15900927289723"
"17373.12865052397","-39.59431008093147","-43.750349726539014","-45.41336333569054"
"18669.300050286423","-40.83811894532821","-45.00030392549521","-46.667135104812544"
"20062.175983317356","-42.082764381671836","-46.25026957924075","-47.92040229685342"
"21558.971364832756","-43.32813259952931","-47.5002438230052","-49.17323229624277"
"23167.439399204395","-44.57412546669968","-48.75022450845308","-50.425683518355726"
"24895.91174054476","-45.82065831195579","-50.00021002452594","-51.67780659557249"
"26753.341649585996","-47.06765804584697","-51.25019916308114","-52.92964540853163"
"28749.350370399858","-48.31506155141886","-52.50019101812877","-54.18123798223545"
"30894.276967184054","-49.5628143044069","-53.75018491026612","-55.432617264321344"
"33199.23187926295","-50.81086918886203","-55.000180330009655","-56.68381180070319"
"35676.15447171061","-52.05918547949483","-56.25017689529868","-57.93484632190431"
"38337.874879700794","-53.30772796646686","-57.50017431962704","-59.18574225173062"
